name,latitude,longitude,link,content
COMPALCIHT Association,11.12,-86.6,http://www.w3schools.com/,"We envision a world where we act together as a global community, to ensure all children have education, healthcare, and a safe home. "
Crea+,-23.33,-46.37,http://www.w3schools.com/,"Compassion, Community, Generosity, Reciprocity, Respect, Transparency"
FDEGL,13.32,-85.84,http://www.w3schools.com/,"We envision a world where we act together as a global community, to ensure all children have education, healthcare, and a safe home. "
